1;08.08.2014-16:18:57;0;50;
2;08.08.2014-16:19:02;0;37;
3;08.08.2014-16:19:07;0;41;
4;08.08.2014-16:19:12;0;42;
5;08.08.2014-16:19:17;0;42;
6;08.08.2014-16:19:23;0;44;
7;08.08.2014-16:19:28;0;40;
8;08.08.2014-16:19:33;0;41;
9;08.08.2014-16:19:38;0;41;
10;08.08.2014-16:19:43;0;41;
11;08.08.2014-16:19:48;0;46;
12;08.08.2014-16:19:53;0;46;
13;08.08.2014-16:19:58;0;43;
14;08.08.2014-16:20:03;0;41;
15;08.08.2014-16:20:08;0;50;
16;08.08.2014-16:20:13;0;36;
17;08.08.2014-16:20:18;0;39;
18;08.08.2014-16:20:23;0;44;
19;08.08.2014-16:20:28;0;41;
20;08.08.2014-16:20:34;0;40;
21;08.08.2014-16:20:39;0;53;
22;08.08.2014-16:20:44;0;35;
23;08.08.2014-16:20:49;0;40;
24;08.08.2014-16:20:54;0;44;
25;08.08.2014-16:20:59;0;39;
26;08.08.2014-16:21:04;0;43;
27;08.08.2014-16:21:09;0;48;
28;08.08.2014-16:21:14;0;39;
29;08.08.2014-16:21:19;0;41;
30;08.08.2014-16:21:24;0;43;
31;08.08.2014-16:21:29;0;43;
32;08.08.2014-16:21:34;0;43;
33;08.08.2014-16:21:39;0;47;
34;08.08.2014-16:21:45;0;41;
35;08.08.2014-16:21:50;0;45;
36;08.08.2014-16:21:55;0;41;
37;08.08.2014-16:22:00;0;40;
38;08.08.2014-16:22:05;0;47;
39;08.08.2014-16:22:10;0;41;
40;08.08.2014-16:22:15;0;40;
41;08.08.2014-16:22:20;0;50;
42;08.08.2014-16:22:25;0;42;
43;08.08.2014-16:22:30;0;41;
44;08.08.2014-16:22:35;0;40;
45;08.08.2014-16:22:40;0;41;
46;08.08.2014-16:22:45;0;43;
47;08.08.2014-16:22:50;0;44;
48;08.08.2014-16:22:56;0;38;
49;08.08.2014-16:23:01;0;35;
50;08.08.2014-16:23:06;0;44;
51;08.08.2014-16:23:11;0;36;
52;08.08.2014-16:23:16;0;35;
53;08.08.2014-16:23:21;0;46;
54;08.08.2014-16:23:26;0;39;
55;08.08.2014-16:23:31;0;38;
56;08.08.2014-16:23:36;0;45;
57;08.08.2014-16:23:41;0;37;
58;08.08.2014-16:23:46;0;38;
59;08.08.2014-16:23:51;0;39;
60;08.08.2014-16:23:56;0;47;
61;08.08.2014-16:24:01;0;41;
62;08.08.2014-16:24:06;0;43;
63;08.08.2014-16:24:12;0;46;
64;08.08.2014-16:24:17;0;44;
65;08.08.2014-16:24:22;0;42;
66;08.08.2014-16:24:27;0;45;
67;08.08.2014-16:24:32;0;37;
68;08.08.2014-16:24:37;0;43;
69;08.08.2014-16:24:42;0;42;
70;08.08.2014-16:24:47;0;36;
71;08.08.2014-16:24:52;0;44;
72;08.08.2014-16:24:57;0;40;
73;08.08.2014-16:25:02;0;59;
74;08.08.2014-16:25:07;0;41;
75;08.08.2014-16:25:12;0;42;
76;08.08.2014-16:25:17;0;41;
77;08.08.2014-16:25:23;0;39;
78;08.08.2014-16:25:28;0;41;
79;08.08.2014-16:25:33;0;42;
80;08.08.2014-16:25:38;0;47;
81;08.08.2014-16:25:43;0;41;
82;08.08.2014-16:25:48;0;44;
83;08.08.2014-16:25:53;0;40;
84;08.08.2014-16:25:58;0;45;
85;08.08.2014-16:26:03;0;36;
86;08.08.2014-16:26:08;0;36;
87;08.08.2014-16:26:13;0;39;
88;08.08.2014-16:26:18;0;38;
89;08.08.2014-16:26:23;0;48;
90;08.08.2014-16:26:28;0;40;
91;08.08.2014-16:26:33;0;42;
92;08.08.2014-16:26:39;0;39;
93;08.08.2014-16:26:44;0;45;
94;08.08.2014-16:26:49;0;38;
95;08.08.2014-16:26:54;0;36;
96;08.08.2014-16:26:59;0;38;
97;08.08.2014-16:27:04;0;41;
98;08.08.2014-16:27:09;0;42;
99;08.08.2014-16:27:14;0;44;
100;08.08.2014-16:27:19;0;42;
101;08.08.2014-16:27:24;0;36;
102;08.08.2014-16:27:29;0;39;
103;08.08.2014-16:27:34;0;50;
104;08.08.2014-16:27:39;0;33;
105;08.08.2014-16:27:44;0;43;
106;08.08.2014-16:27:50;0;38;
107;08.08.2014-16:27:55;0;37;
108;08.08.2014-16:28:00;0;37;
109;08.08.2014-16:28:05;0;35;
110;08.08.2014-16:28:10;0;40;
111;08.08.2014-16:28:15;0;41;
112;08.08.2014-16:28:20;0;37;
