gefundene Knoten:  <3> 
run,avg,min,max,mdev,loss,received,error,dup,pipe,0,0
86,'38.570','36.033','41.579','1.607',NULL,0,10,0,0,0,0,0
87,'37.330','33.617','40.614','2.207',NULL,0,10,0,0,0,0,0
88,'37.640','33.662','41.810','2.143',NULL,0,10,0,0,0,0,0
89,'37.433','35.384','39.920','1.488',NULL,0,10,0,0,0,0,0
90,'36.887','34.474','39.489','1.720',NULL,0,10,0,0,0,0,0
91,'38.169','35.493','41.086','2.036',NULL,0,10,0,0,0,0,0
92,'38.170','35.730','41.414','1.933',NULL,0,10,0,0,0,0,0
93,'38.854','34.000','41.649','2.162',NULL,0,10,0,0,0,0,0
94,'39.275','36.656','42.081','1.577',NULL,0,10,0,0,0,0,0
95,'38.559','36.297','40.899','1.619',NULL,0,10,0,0,0,0,0
96,'38.600','35.574','41.394','1.669',NULL,0,10,0,0,0,0,0
97,'38.037','35.333','41.301','2.517',NULL,0,10,0,0,0,0,0
98,'38.689','32.549','43.196','3.022',NULL,0,10,0,0,0,0,0
99,'38.020','34.096','43.281','2.598',NULL,0,10,0,0,0,0,0
100,'38.896','34.693','43.272','2.574',NULL,0,10,0,0,0,0,0
101,'38.072','34.420','41.960','2.139',NULL,0,10,0,0,0,0,0
102,'38.288','34.855','42.317','2.381',NULL,0,10,0,0,0,0,0
103,'38.509','35.721','42.860','2.404',NULL,0,10,0,0,0,0,0
104,'36.962','34.980','39.341','1.393',NULL,0,10,0,0,0,0,0
105,'36.996','33.165','40.693','2.213',NULL,0,10,0,0,0,0,0
106,'37.579','34.505','40.424','1.554',NULL,0,10,0,0,0,0,0
107,'44.921','34.215','108.182','21.186',NULL,0,10,0,0,0,0,0
108,'38.945','35.475','42.979','1.958',NULL,1,9,0,0,0,0,0
109,'38.944','37.062','43.025','1.802',NULL,0,10,0,0,0,0,0
110,'36.772','32.441','41.346','2.862',NULL,0,10,0,0,0,0,0
111,'39.315','33.109','44.862','3.320',NULL,0,10,0,0,0,0,0
112,'40.137','34.039','58.808','6.468',NULL,0,10,0,0,0,0,0
113,'37.869','36.069','40.144','1.353',NULL,0,10,0,0,0,0,0
114,'41.163','35.673','59.226','6.366',NULL,0,10,0,0,0,0,0
115,'40.635','35.971','49.728','4.368',NULL,0,10,0,0,0,0,0
116,'41.242','34.630','75.603','11.637',NULL,0,10,0,0,0,0,0
117,'37.365','34.890','39.941','1.900',NULL,0,10,0,0,0,0,0
118,'37.460','34.749','41.101','1.753',NULL,0,10,0,0,0,0,0
119,'37.134','34.057','39.548','1.768',NULL,0,10,0,0,0,0,0
120,'37.469','34.007','40.778','2.585',NULL,0,10,0,0,0,0,0
121,'38.036','35.039','40.633','1.679',NULL,0,10,0,0,0,0,0
